tipo_negocio,tiene_reja,anio_apertura,trabajadores_total,trabajadores_salario_fijo,expectativa_trabajadores_3m,ventas_vs_mes_anterior,razon_cambio_ventas,expectativa_ventas_3m,cambio_inventario,expectativa_inventario_3m,percepcion_inventario,cambio_precios,expectativa_precios_3m,impacto_crimen,impacto_falta_credito,impacto_precio_bienes,impacto_competencia,credito_bancos,credito_proveedores,credito_familia,credito_gobierno,credito_privado,credito_otro,razon_sin_credito,quiere_crecer,razon_no_crecer,nivel_digitalizacion,tecnologias_digitales,horario_apertura,horario_cierre,sexo,tipo_local,educacion,rango_edad,latitud,longitud,salario_dejar_negocio_num,salario_dejar_negocio_text,consumo_energia_kw_num,consumo_energia_kw_text,consumo_energia_kw_cash
Almacén,False,2024.0,2.0,2.0,Permanezca igual,Igual,"Cerca del verano, se mantiene en un plano",Mayores,Permaneció igual,Incremente,Muy poco,Aumentó,Aumenten,Moderado,Nada,Mucho,Algo,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",11:00 am,11:00 pm,Mujer,Rentado,Universidad y más,De 41 a 50,-34.610246,-58.397599,0,,,,
Almacén,False,2015.0,3.0,0.0,Aumente,Mejor,ghjkl,Mayores,Disminuyó,Incremente,Muy poco,Aumentó,Aumenten,Nada,Algo,Mucho,Mucho,False,True,True,False,True,,Las tasas de interés son muy altas,False,Porque sería muy complicado administrarlo,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,,,,,,,-34.61110527179216,-58.44038672336395,,,,,
Almacén,False,2022.0,3.0,2.0,Permanezca igual,Igual,Los precios quedaron muy altos en relación a los sueldos,Mayores,Permaneció igual,Incremente,Muy poco,Aumentó,Aumenten,Poco,Algo,Moderado,Moderado,False,False,False,False,False,Mercado Pago,No necesito un crédito,False,Porque sería muy complicado administrarlo,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",9:30 am,8:00 pm,Hombre,Rentado,Secundaria,De 41 a 50,,,4000000,,1949,,
Bares y pequeños restaurantes,False,2020.0,2.0,0.0,Permanezca igual,Peor,Falta de dinero de los clientes,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Nada,Nada,Mucho,Nada,False,False,False,False,False,No,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",12:00 pm,6:00 pm,Hombre,Rentado,Secundaria,Más de 60,-34.5777698,-58.459811,2500000,,,No,
Kiosko,False,2024.0,2.0,2.0,Permanezca igual,Peor,"Situacion actual, falta de dinero en ma calle",Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Mucho,Moderado,False,True,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:00 am,8:00 pm,Hombre,Rentado,Secundaria,De 41 a 50,-34.5765712,-58.4596786,1500000,,,No lo tiene,
Cafeterías,False,2024.0,2.0,2.0,Permanezca igual,Igual,"Siempre los mismos clientes, no hay variacion",Mayores,Disminuyó,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Poco,Nada,Algo,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",7:30 am,7:30 pm,Mujer,Rentado,Secundaria,De 21 a 30,-34.5768898,-58.4600494,800000,,,—,
Kiosko,True,2022.0,3.0,3.0,Permanezca igual,Peor,Por incremento de precios al aumentar los costos,Mayores,Disminuyó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Mucho,Moderado,False,False,False,False,False,No,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",6:00 am,11:00 pm,Hombre,Rentado,Universidad y más,De 41 a 50,-34.5744331,-58.4595387,1000000,,,No sabe,
Verdulería,False,1980.0,1.0,0.0,Aumente,Peor,Por la situación pais,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Nada,Algo,Moderado,Mucho,False,False,False,False,False,,No necesito un crédito,False,Porque está satisfecho con su negocio,Ninguno: No usamos ninguna herramienta digital (todos los procesos son manuales).,Ninguna de las anteriores.,9:00 am,8:00 pm,Hombre,Propio,Secundaria,Más de 60,-34.5711686,-58.4573551,2000000,,,-,
Kiosko,False,2005.0,2.0,2.0,Permanezca igual,Mejor,Por el clima,Menores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Nada,Nada,Moderado,Moderado,False,False,False,False,False,No,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",7:00 am,11:00 pm,Hombre,Rentado,Secundaria,De 21 a 30,-34.5662535,-58.4528198,0.0,0 (no está dispuesto a venderlo),,—,
Cafeterías,False,2012.0,3.0,3.0,Aumente,Peor,Político,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Moderado,Moderado,Nada,True,False,False,False,False,No,,False,Porque está satisfecho con su negocio,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",7:00 am,7:00 pm,Hombre,Rentado,Primaria,Más de 60,-34.7621776,-58.39832,,No aceptaría nada,1400,,
Fiambrería,False,2024.0,2.0,2.0,Aumente,Mejor,Mercadería y atención,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Poco,Algo,Mucho,True,False,False,False,False,No,,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,10:30 pm,Hombre,Rentado,Secundaria,De 21 a 30,-34.7614455,-58.4036016,,No lo acepta,1893,,
Bares y pequeños restaurantes,False,2023.0,4.0,4.0,Aumente,Mejor,Porque usan mucho marketing,Mayores,Aumentó,Incremente,Demsiado grande,Permaneció igual,Permanezcan igual,Mucho,Moderado,Mucho,Nada,False,False,False,False,False,ninguna,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",10:00 am,8:30 pm,Hombre,Rentado,Secundaria,De 31 a 40,-34.7615375,-58.4043657,,ninguna,1500,,
Confitería o Panadería,False,2015.0,10.0,10.0,Permanezca igual,Igual,Estacional. Depende el mes.,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Moderado,Moderado,Mucho,False,False,False,False,False,No,Los procedimientos para aplicar son complicados,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",7:30 am,8:00 pm,Mujer,Rentado,Universidad y más,De 51 a 60,-34.7613012,-58.4042919,,Ninguno,400,,
Bares y pequeños restaurantes,False,2021.0,6.0,6.0,Disminuya,Peor,La economia,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Moderado,Moderado,Mucho,Mucho,False,False,False,False,False,ninguna,No necesito un crédito,False,Porque tendría que hacer trámites muy costosos,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",10:00 am,2:30 pm,Mujer,Rentado,Secundaria,De 51 a 60,-34.7629116,-58.4018843,1100000,,1400,,
Bares y pequeños restaurantes,False,2003.0,3.0,3.0,Permanezca igual,Peor,Económica y política,Menores,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Moderado,Mucho,Nada,False,False,False,False,False,No,Los requerimientos de garantía son muy altos,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,5:00 pm,Hombre,Rentado,Secundaria,De 51 a 60,-34.7620272,-58.3991223,3000000,,,No sabe,
Cafeterías,False,2023.0,3.0,3.0,Aumente,Mejor,Distintas opciones de productos naturales,Mayores,Aumentó,Incremente,Demsiado grande,Permaneció igual,Permanezcan igual,Nada,Nada,Nada,Nada,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:30 am,8:00 pm,Hombre,Rentado,Universidad y más,De 51 a 60,-34.7620272,-58.3991223,,Ninguna,600,,
Bares y pequeños restaurantes,False,1995.0,4.0,4.0,Permanezca igual,Mejor,Temporada,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Poco,Nada,Nada,Poco,False,False,False,False,False,,No necesito un crédito,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",12:00 pm,11:00 pm,Hombre,Rentado,Secundaria,Más de 60,-34.7612761,-58.4012148,,Ningúno,600,,
Kiosko,False,2025.0,5.0,2.0,Permanezca igual,Mejor,Por el clima,Mayores,Permaneció igual,Incremente,Muy poco,Permaneció igual,Permanezcan igual,Poco,Nada,Moderado,Poco,False,False,True,False,False,.,Las tasas de interés son muy altas,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",9:00 am,9:00 pm,Hombre,Rentado,Preparatoria,De 21 a 30,-37.3298513,-59.0953524,,No acepta,,,
Dietéticas,False,2024.0,3.0,2.0,Permanezca igual,Mejor,Epoca del año y diversificacion del almacen,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Moderado,Moderado,False,False,False,False,False,No,No necesito un crédito,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:30 am,9:00 pm,Mujer,Rentado,Preparatoria,De 41 a 50,-37.329794,-59.0952451,,No lo dejaria,,No sabe,
Carnicería,False,2009.0,2.0,2.0,Permanezca igual,Igual,Clima,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Poco,Nada,Moderado,Poco,False,False,False,False,False,,No necesito un crédito,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.,Plataformas online/móviles para hacer pedidos a proveedores.",9:00 am,8:00 pm,Mujer,Rentado,Primaria,De 41 a 50,-37.3334934,-59.1107784,,Ninguna,,,
Almacén,False,2022.0,3.0,0.0,Permanezca igual,Igual,No hay más plata que alcance.,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Nada,Nada,Mucho,Nada,False,False,False,False,False,.,No necesito un crédito,False,Porque está satisfecho con su negocio,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",9:00 am,9:00 pm,Hombre,Rentado,Secundaria,De 21 a 30,-37.3336019,-59.1106044,,No lo cambiaria,,,
Almacén,False,2019.0,8.0,6.0,Permanezca igual,Igual,"Por el público de la zona, en otros lados está complicado.",Mayores,Permaneció igual,Incremente,Muy poco,Aumentó,Aumenten,Nada,Nada,Algo,Nada,True,False,False,False,False,.,,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:30 am,9:00 pm,Hombre,Rentado,Primaria,De 41 a 50,-37.3338347,-59.1104965,,,,,
Almacén,True,2025.0,2.0,0.0,Permanezca igual,Igual,Está estable,Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Algo,Nada,Poco,Poco,False,False,False,False,False,,Las tasas de interés son muy altas,False,Porque sería muy complicado administrarlo,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",7:30 am,9:00 pm,Mujer,Propio,Preparatoria,De 41 a 50,-34.763165,-58.214369,5000000,,,$85000,85000.0
Carnicería,False,1980.0,5.0,2.0,Permanezca igual,Igual,Estabilidad,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Nada,Nada,Poco,Poco,False,False,False,False,False,,No necesito un crédito,True,,,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:30 am,8:00 pm,Hombre,Rentado,Secundaria,De 21 a 30,-34.761104,-58.216218,90000000,,,,
Verdulería,False,2021.0,3.0,1.0,Permanezca igual,Igual,,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Poco,Nada,Mucho,Nada,True,False,False,False,False,,,True,,Básico: Usamos al menos una herramienta digital básica (ej. un celular o una app de mensajería) para algunas tareas.,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",8:30 am,8:30 pm,Hombre,Rentado,Secundaria,De 21 a 30,,,,No cambiaría por negocio familiar,,Varia,
Kiosko,False,1990.0,1.0,0.0,Permanezca igual,Igual,"Los clientes se guardan el dinero para articulos de canasta básica, dilatando la adquisición de productos de cierta especificidad para más adelante.",Mayores,Aumentó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Moderado,Poco,Poco,False,False,False,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Plataformas online/móviles para hacer pedidos a proveedores.",10:00 am,8:00 pm,Mujer,Rentado,Universidad y más,De 51 a 60,-34.5824223,-58.4985491,,No cerraría por ningún motivo,312.0,312 kw en 60 días,
Carnicería,False,2023.0,2.0,0.0,Aumente,Igual,Siempre son los mismos clientes y consumen lo mismo,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Algo,Nada,Mucho,Algo,False,False,False,False,False,No,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,8:00 pm,Mujer,Rentado,Secundaria,De 51 a 60,-34.763159,-58.4083562,,Nada,,No sabe,
Verdulería,False,2018.0,2.0,0.0,Permanezca igual,Peor,Estan bajando porque la gente no tiene plata para comprar. Hace 2 años o 3 vendian kilos y kilos de verduleria,Menores,Disminuyó,Permanezca igual,En su nivel correcto,Bajó,Aumenten,Nada,Nada,Mucho,Poco,False,False,False,False,False,,Los procedimientos para aplicar son complicados,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,9:00 pm,Hombre,Rentado,Sin estudios,De 41 a 50,-34.7633096,-58.4083005,,No cierra el negocio no importa el salario,,500000,500000
Almacén,True,2024.0,4.0,4.0,Permanezca igual,Igual,La gente vive al día a dia,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Permanezcan igual,Poco,Nada,Poco,Poco,False,False,False,False,False,Ninguna,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",8:00 am,11:00 pm,Hombre,Propio,Primaria,De 51 a 60,-34.7644133,-58.4049575,,Nada,,No sabe,
Bares y pequeños restaurantes,False,2012.0,5.0,1.0,Permanezca igual,Igual,"Por la calidad, relacion precio calidad y porque en el barrio estan asentados los conocen",Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Algo,Nada,Algo,Moderado,False,False,True,False,False,,No necesito un crédito,True,,Moderado: Usamos algunas tecnologías digitales (ej. aceptamos pagos con tarjeta/QR o usamos un sistema POS sencillo o app de pedidos).,"Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).",9:00 am,9:30 pm,Mujer,Rentado,Universidad y más,De 21 a 30,-34.7639451,-58.4039982,,No cerraria,,300000,300000
Kiosko,False,2023.0,2.0,2.0,Aumente,Mejor,Mejoró la perspectiva política,Menores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Moderado,Mucho,Mucho,Mucho,False,False,True,False,False,No,Las tasas de interés son muy altas,True,,"Alto: La mayoría de nuestras operaciones usan sistemas digitales (ej. software de inventario, caja electrónica, pedidos en línea).","Apps de mensajería para el negocio (ej. WhatsApp con proveedores/clientes).,Aceptamos pagos electrónicos (ej. billetera móvil, QR, tarjeta de débito/crédito).,Punto de venta digital (POS) o sistema de inventario.",6:00 am,12:00 pm,Hombre,Rentado,Universidad y más,De 21 a 30,-34.7639911,-58.4029431,,Nada,,260000 pesos,260000.0
